name,date,tickets,gross,month,year
Beyonce,5/25/2016,40818,4803295,5,2016
Beyonce,5/27/2016,73486,11461340,5,2016
Beyonce,5/31/2016,38256,3953445,5,2016
Beyonce,6/3/2016,45885,6028115,6,2016
Kenny Chesney,6/4/2016,47922,3412908,6,2016
Beyonce,6/5/2016,47819,5770660,6,2016
Beyonce,6/10/2016,46321,5801725,6,2016
Beyonce,6/12/2016,36247,3888776,6,2016
Beyonce,6/14/2016,47223,5563435,6,2016
Kenny Chesney,6/18/2016,49285,4903524,6,2016
Guns N’ Roses,6/23/2016,43533,4650927,6,2016
Kenny Chesney,6/25/2016,41342,4812602,6,2016
Dead and Company,6/25/2016,57606,5329226,6,2016
Guns N’ Roses,6/26/2016,40403,4255091,6,2016
Guns N’ Roses,6/29/2016,34801,3112504,6,2016
Billy Joel,7/1/2016,41920,4694156,7,2016
Guns N’ Roses,7/1/2016,73685,8990756,7,2016
Dead and Company,7/2/2016,27299,4032321,7,2016
Kenny Chesney,7/2/2016,45857,3643658,7,2016
Adele,7/5/2016,31251,3402979,7,2016
Billy Joel,7/9/2016,36446,4241968,7,2016
Guns N’ Roses,7/9/2016,39847,4642797,7,2016
Adele,7/10/2016,62704,6821680,7,2016
Guns N’ Roses,7/12/2016,25695,3730662,7,2016
Paul McCartney,7/12/2016,30002,4392370,7,2016
Guns N’ Roses,7/14/2016,44393,4788993,7,2016
Dead and Company,7/15/2016,79489,6357746,7,2016
Adele,7/16/2016,30685,3376247,7,2016
Kenny Chesney,7/16/2016,43675,4064335,7,2016
Guns N’ Roses,7/16/2016,49458,5430089,7,2016
Coldplay,7/16/2016,114214,10914390,7,2016
Paul McCartney,7/17/2016,30213,6448272,7,2016
Paul McCartney,7/19/2016,44222,3615233,7,2016
Guns N’ Roses,7/19/2016,69962,8395789,7,2016
Adele,7/20/2016,29043,3280806,7,2016
Kenny Chesney,7/23/2016,57364,3746688,7,2016
Coldplay,7/23/2016,97938,10071884,7,2016
Guns N’ Roses,7/27/2016,41580,4385263,7,2016
Guns N’ Roses,7/29/2016,49177,5729671,7,2016
Adele,7/30/2016,29382,3270009,7,2016
Billy Joel,7/30/2016,32833,4035981,7,2016
Coldplay,7/30/2016,52677,7351793,7,2016
Guns N’ Roses,7/31/2016,27012,3398867,7,2016
Guns N’ Roses,8/3/2016,31846,4253055,8,2016
Guns N’ Roses,8/5/2016,41818,6164080,8,2016
Kenny Chesney,8/6/2016,48195,3739539,8,2016
Coldplay,8/6/2016,50418,5658593,8,2016
Paul McCartney,8/9/2016,24723,4233509,8,2016
Guns N’ Roses,8/9/2016,40702,5581274,8,2016
Guns N’ Roses,8/12/2016,47072,5034807,8,2016
Paul McCartney,8/13/2016,28360,4731761,8,2016
Kenny Chesney,8/13/2016,51293,3887143,8,2016
Guns N’ Roses,8/15/2016,39385,4039943,8,2016
Paul McCartney,8/17/2016,38431,4365986,8,2016
Billy Joel,8/18/2016,37807,4031634,8,2016
Guns N’ Roses,8/18/2016,131198,9328859,8,2016
Luke Bryan,8/19/2016,76450,5711535,8,2016
Metallica,8/20/2016,46941,5196436,8,2016
Kenny Chesney,8/20/2016,55131,5952700,8,2016
Celene Dion,8/20/2016,138164,16654451,8,2016
Coldplay,8/20/2016,195192,11363862,8,2016
Guns N’ Roses,8/22/2016,38017,5574701,8,2016
Kenny Chesney,8/25/2016,121642,12095688,8,2016
Billy Joel,8/26/2016,48162,5046093,8,2016
Luke Bryan,8/27/2016,47219,4565263,8,2016
Coldplay,8/27/2016,47971,4928693,8,2016
Coldplay,9/3/2016,49808,6014866,9,2016
Adele,9/9/2016,32155,3436519,9,2016
Beyonce,9/10/2016,37203,4174270,9,2016
Beyonce,9/14/2016,55736,7138685,9,2016
Beyonce,9/17/2016,42635,5107065,9,2016
Adele,9/19/2016,118149,13821739,9,2016
Beyonce,9/22/2016,45998,5152373,9,2016
Paul McCartney,9/23/2016,59784,3959494,9,2016
Beyonce,9/24/2016,45126,5374615,9,2016
Beyonce,9/26/2016,41524,5471395,9,2016
Beyonce,9/29/2016,26662,3474695,9,2016
Adele,9/30/2016,34590,3665247,9,2016
Beyonce,10/2/2016,36212,5270216,10,2016
Adele,10/3/2016,86652,9829597,10,2016
Paul McCartney,10/4/2016,26874,4810271,10,2016
Beyonce,10/7/2016,43871,6412280,10,2016
Adele,10/10/2016,27313,3351627,10,2016
The Rolling Stones,10/22/2016,49502,7187255,10,2016
Luke Bryan,10/22/2016,50539,3642005,10,2016
Adele,10/25/2016,27823,3143957,10,2016
Luke Bryan,10/29/2016,41200,3593389,10,2016
Adele,11/1/2016,28002,3224583,11,2016
Adele,11/4/2016,27906,3115293,11,2016
Adele,11/14/2016,45635,5074208,11,2016
Paul McCartney,1/21/2017,76716,5375977,1,2017
Paul McCartney,3/10/2017,48139,3104003,3,2017
Celene Dion,4/4/2017,67368,8852397,4,2017
Billy Joel,4/28/2017,39500,4627472,4,2017
Metallica,5/10/2017,45860,4247778,5,2017
U2,5/12/2017,35398,4385885,5,2017
Metallica,5/12/2017,51955,5884163,5,2017
Billy Joel,5/13/2017,224244,26315625,5,2017
Metallica,5/14/2017,52926,5246586,5,2017
U2,5/14/2017,56570,6259880,5,2017
Celene Dion,5/16/2017,50227,8579400,5,2017
U2,5/17/2017,49827,6286385,5,2017
Metallica,5/19/2017,60509,6384282,5,2017
U2,5/20/2017,149942,19474285,5,2017
U2,5/24/2017,48494,5923665,5,2017
U2,5/26/2017,52958,6125415,5,2017
Dead and Company,5/31/2017,49166,3957985,5,2017
U2,6/3/2017,117098,13860111,6,2017
Metallica,6/4/2017,40850,4220420,6,2017
U2,6/7/2017,45436,4338208,6,2017
Metallica,6/7/2017,47778,6095723,6,2017
Dead and Company,6/9/2017,57665,4891787,6,2017
Metallica,6/11/2017,47175,4944489,6,2017
U2,6/11/2017,51731,5970055,6,2017
Metallica,6/14/2017,39024,4531443,6,2017
U2,6/14/2017,57009,6249670,6,2017
Metallica,6/16/2017,41119,4341114,6,2017
U2,6/16/2017,42905,4936605,6,2017
Billy Joel,6/17/2017,41997,4876038,6,2017
Dead and Company,6/17/2017,49745,5145262,6,2017
Metallica,6/18/2017,49722,5421187,6,2017
U2,6/18/2017,50072,6268805,6,2017
U2,6/20/2017,54221,6469130,6,2017
U2,6/23/2017,51849,5582965,6,2017
Dead and Company,6/24/2017,34735,4195625,6,2017
U2,6/25/2017,80911,7157271,6,2017
U2,6/28/2017,123164,15784565,6,2017
U2,7/1/2017,47669,5889005,7,2017
Metallica,7/5/2017,38778,4192393,7,2017
Metallica,7/7/2017,29218,3171717,7,2017
Metallica,7/9/2017,43491,4846411,7,2017
Metallica,7/12/2017,45343,4527654,7,2017
Billy Joel,7/14/2017,36582,4045000,7,2017
Paul McCartney,7/14/2017,69736,4480871,7,2017
Metallica,7/19/2017,31075,3405806,7,2017
Paul McCartney,7/25/2017,28048,3671696,7,2017
Guns N’ Roses,7/27/2017,30562,3263999,7,2017
Billy Joel,7/28/2017,42322,4778636,7,2017
Metallica,7/29/2017,197745,9578235,7,2017
Guns N’ Roses,7/30/2017,48016,5351753,7,2017
Coldplay,8/1/2017,94857,8705531,8,2017
Guns N’ Roses,8/2/2017,35379,3862832,8,2017
Coldplay,8/4/2017,46126,6025202,8,2017
Metallica,8/4/2017,51041,5313714,8,2017
Metallica,8/6/2017,46720,4854470,8,2017
Coldplay,8/6/2017,51358,4842037,8,2017
Guns N’ Roses,8/8/2017,36306,3932053,8,2017
Coldplay,8/8/2017,44337,4696193,8,2017
Metallica,8/9/2017,48492,5158790,8,2017
Guns N’ Roses,8/11/2017,25724,3290543,8,2017
Billy Joel,8/11/2017,40947,4713441,8,2017
Coldplay,8/12/2017,35731,4039187,8,2017
Guns N’ Roses,8/13/2017,36179,3586506,8,2017
Metallica,8/14/2017,39961,4012365,8,2017
Coldplay,8/17/2017,54279,5955986,8,2017
Coldplay,8/21/2017,92882,9609683,8,2017
Guns N’ Roses,8/24/2017,27502,3090749,8,2017
Guns N’ Roses,8/27/2017,29122,3527333,8,2017
Coldplay,8/28/2017,64442,6051529,8,2017
Billy Joel,8/30/2017,39662,4481549,8,2017
Guns N’ Roses,8/30/2017,39870,5012092,8,2017
Guns N’ Roses,9/1/2017,34581,4043899,9,2017
U2,9/3/2017,52704,4977956,9,2017
U2,9/5/2017,41413,4273920,9,2017
Guns N’ Roses,9/6/2017,31880,3256986,9,2017
Guns N’ Roses,9/8/2017,33617,3678541,9,2017
U2,9/8/2017,45491,4810535,9,2017
Billy Joel,9/9/2017,37109,4623823,9,2017
U2,9/10/2017,49807,6044330,9,2017
Paul McCartney,9/11/2017,36142,4991074,9,2017
U2,9/12/2017,41106,4269245,9,2017
U2,9/14/2017,34626,3992985,9,2017
Paul McCartney,9/15/2017,48026,6748828,9,2017
Paul McCartney,9/19/2017,30166,4525832,9,2017
U2,9/19/2017,39593,4200160,9,2017
Billy Joel,9/21/2017,38964,4753087,9,2017
U2,9/22/2017,55231,6881340,9,2017
Paul McCartney,9/23/2017,29569,4153715,9,2017
Coldplay,9/23/2017,43896,4975370,9,2017
Paul McCartney,9/26/2017,31869,4362514,9,2017
Coldplay,9/26/2017,39405,3904518,9,2017
Coldplay,9/29/2017,48341,5265835,9,2017
Paul McCartney,10/1/2017,43428,4657982,10,2017
U2,10/3/2017,110642,14568805,10,2017
Coldplay,10/4/2017,53011,5272000,10,2017
Coldplay,10/6/2017,53017,6265175,10,2017
Coldplay,10/8/2017,49238,5990659,10,2017
Guns N’ Roses,10/11/2017,28849,6265076,10,2017
Paul McCartney,10/20/2017,88317,4945320,10,2017
Paul McCartney,10/28/2017,52465,7808072,10,2017
Guns N’ Roses,10/29/2017,25573,3329048,10,2017
Dead and Company,11/12/2017,55882,4365860,11,2017
Guns N’ Roses,11/25/2017,34434,3464452,11,2017
Paul McCartney,12/9/2017,1254649,81458615,12,2017
Eagles,3/23/2018,27736,5455167,3,2018
Eagles,4/14/2018,45853,8374832,4,2018
Eagles,4/21/2018,37598,6063710,4,2018
Kenny Chesney,4/21/2018,55292,6245650,4,2018
Kenny Chesney,4/28/2018,43526,5136660,4,2018
Kenny Chesney,5/5/2018,48255,4999184,5,2018
Taylor Swift,5/8/2018,59157,7214478,5,2018
Eagles,5/10/2018,25207,3465061,5,2018
Taylor Swift,5/11/2018,107550,14006963,5,2018
Taylor Swift,5/18/2018,118084,16251980,5,2018
Kenny Chesney,5/19/2018,46274,3770669,5,2018
Taylor Swift,5/22/2018,56021,8672219,5,2018
Taylor Swift,5/25/2018,57140,7926365,5,2018
Kenny Chesney,5/26/2018,51312,5068880,5,2018
Taylor Swift,6/1/2018,105208,14576697,6,2018
Kenny Chesney,6/2/2018,48856,4603691,6,2018
Kenny Chesney,6/9/2018,55238,6384845,6,2018
Eagles,6/15/2018,40826,7709228,6,2018
Eagles,6/23/2018,52233,10143489,6,2018
Eagles,6/28/2018,48122,9055130,6,2018
Eagles,6/30/2018,39991,7625398,6,2018
Kenny Chesney,6/30/2018,51553,4442006,6,2018
Taylor Swift,6/30/2018,52138,4928219,6,2018
Kenny Chesney,7/7/2018,48889,0,7,2018
Taylor Swift,7/7/2018,62897,6606528,7,2018
Taylor Swift,7/10/2018,95672,11396003,7,2018
Taylor Swift,7/13/2018,107378,11951046,7,2018
Kenny Chesney,7/14/2018,57582,4981733,7,2018
Eagles,7/15/2018,28757,4191651,7,2018
Taylor Swift,7/17/2018,51323,5148757,7,2018
Eagles,7/20/2018,36599,4604059,7,2018
Taylor Swift,7/20/2018,165654,22031385,7,2018
Kenny Chesney,7/21/2018,44529,4753888,7,2018
Jay-Z/Beyoncé,7/25/2018,38931,4194375,7,2018
Eagles,7/26/2018,32614,5335266,7,2018
Taylor Swift,7/26/2018,174764,21779845,7,2018
Jay-Z/Beyoncé,7/27/2018,81964,11437578,7,2018
Eagles,7/28/2018,40306,7385580,7,2018
Kenny Chesney,7/28/2018,52189,5751195,7,2018
Jay-Z/Beyoncé,7/30/2018,54870,6709691,7,2018
Jay-Z/Beyoncé,8/2/2018,99755,13886416,8,2018
Taylor Swift,8/3/2018,100309,11163674,8,2018
Kenny Chesney,8/4/2018,48826,4968562,8,2018
Jay-Z/Beyoncé,8/5/2018,47667,6159979,8,2018
Taylor Swift,8/7/2018,56445,6230876,8,2018
Jay-Z/Beyoncé,8/8/2018,32851,3627417,8,2018
Jay-Z/Beyoncé,8/10/2018,86603,12303099,8,2018
Taylor Swift,8/10/2018,116745,18089414,8,2018
Kenny Chesney,8/11/2018,55182,5471438,8,2018
Jay-Z/Beyoncé,8/13/2018,43699,5310375,8,2018
Taylor Swift,8/14/2018,55909,7244264,8,2018
Jay-Z/Beyoncé,8/18/2018,38053,4262075,8,2018
Taylor Swift,8/18/2018,47818,7072163,8,2018
Kenny Chesney,8/18/2018,58642,6858291,8,2018
Ed Sheeran,8/18/2018,62321,6315595,8,2018
Jay-Z/Beyoncé,8/21/2018,38057,3920225,8,2018
Ed Sheeran,8/21/2018,38647,4199073,8,2018
Jay-Z/Beyoncé,8/23/2018,35353,4058910,8,2018
Kenny Chesney,8/24/2018,121714,11631679,8,2018
Ed Sheeran,8/25/2018,55891,4932401,8,2018
Taylor Swift,8/25/2018,56112,9007179,8,2018
Jay-Z/Beyoncé,8/25/2018,105170,14074692,8,2018
Taylor Swift,8/28/2018,49464,6597851,8,2018
Jay-Z/Beyoncé,8/29/2018,39423,4749201,8,2018
Ed Sheeran,8/30/2018,98461,8459818,8,2018
Jay-Z/Beyoncé,8/31/2018,44310,6295535,8,2018
Taylor Swift,8/31/2018,98773,10242023,8,2018
Ed Sheeran,9/6/2018,41522,3726270,9,2018
Ed Sheeran,9/8/2018,47804,4481289,9,2018
Taylor Swift,9/8/2018,58611,6730137,9,2018
Jay-Z/Beyoncé,9/11/2018,41626,0,9,2018
Eagles,9/12/2018,37702,5803449,9,2018
Jay-Z/Beyoncé,9/13/2018,40939,5437146,9,2018
Ed Sheeran,9/14/2018,110238,9832549,9,2018
Taylor Swift,9/15/2018,55729,6531245,9,2018
Jay-Z/Beyoncé,9/15/2018,80022,11056836,9,2018
Taylor Swift,9/18/2018,47831,4884054,9,2018
Jay-Z/Beyoncé,9/19/2018,37174,4426568,9,2018
Eagles,9/20/2018,36958,7118212,9,2018
Ed Sheeran,9/21/2018,107500,11220207,9,2018
Eagles,9/22/2018,40707,8155054,9,2018
Taylor Swift,9/22/2018,53172,6491546,9,2018
Jay-Z/Beyoncé,9/22/2018,106550,13464062,9,2018
Jay-Z/Beyoncé,9/27/2018,42953,5445486,9,2018
Ed Sheeran,9/27/2018,54292,5161682,9,2018
Ed Sheeran,9/29/2018,41014,4169873,9,2018
Jay-Z/Beyoncé,9/29/2018,47235,7548207,9,2018
Taylor Swift,9/29/2018,53800,9530275,9,2018
Jay-Z/Beyoncé,10/2/2018,39032,4337671,10,2018
Jay-Z/Beyoncé,10/4/2018,40718,4888993,10,2018
Ed Sheeran,10/4/2018,47263,4339349,10,2018
Taylor Swift,10/5/2018,105002,15006157,10,2018
Ed Sheeran,10/6/2018,45888,3954931,10,2018
Eagles,10/9/2018,25791,4549096,10,2018
Ed Sheeran,10/13/2018,51324,4008747,10,2018
Ed Sheeran,10/20/2018,49359,4512421,10,2018
Ed Sheeran,10/24/2018,37288,3390498,10,2018
Ed Sheeran,10/27/2018,46249,4528560,10,2018
Ed Sheeran,11/3/2018,39354,3985595,11,2018
Ed Sheeran,11/7/2018,51120,4197412,11,2018
Ed Sheeran,11/10/2018,50906,5021395,11,2018
Elton John,11/30/2018,24920,3310272,11,2018
Elton John,12/8/2018,25993,4275387,12,2018
Elton John,12/14/2018,29082,4173723,12,2018
Dead & Company,1/17/2019,0,18017582,1,2019
Eric Clapton,1/18/2019,29511,2922111,1,2019
Eric Clapton,1/25/2019,29200,2632660,1,2019
Eric Clapton,2/1/2019,0,2879053,2,2019
Elton John,2/1/2019,29408,3973836,2,2019
Elton John,2/6/2019,27711,4208205,2,2019
Eric Clapton,2/8/2019,0,3559805,2,2019
Eric Clapton,2/15/2019,0,0,2,2019
Elton John,2/15/2019,28538,3942660,2,2019
Elton John,2/21/2019,29949,4205786,2,2019
Eric Clapton,2/22/2019,28766,3022782,2,2019
Eric Clapton,3/1/2019,0,2990824,3,2019
Elton John,3/5/2019,29988,5070774,3,2019
Elton John,3/8/2019,0,0,3,2019
Eric Clapton,3/15/2019,0,0,3,2019
Eric Clapton,3/22/2019,0,2746893,3,2019
Eric Clapton,3/29/2019,0,2874425,3,2019
Eric Clapton,4/26/2019,26962,2613375,4,2019
Eric Clapton,5/3/2019,0,2743772,5,2019
Eric Clapton,5/25/2019,0,0,5,2019
Paul McCartney,5/27/2019,0,2719928,5,2019
Dead & Company,5/31/2019,38971,3205047,5,2019
Dead & Company,6/3/2019,0,0,6,2019
