year,name,Date,City,State,Country,Venue,Revenue
2017,U2,6/16/2017,Louisville,KY, USA,Papa John's Cardinal Stadium,4810535
2017,U2,6/18/2017,Philadelphia,PA, USA,Lincoln Financial Field,6259880
2017,U2,6/20/2017,Landover,MI, USA,FedExField,6286385
2017,U2,6/23/2017,Toronto,Canada,Canada,Rogers Centre,5059568
2017,U2,6/25/2017,Foxborough,MA, USA,Gillette Stadium,6881340
2017,U2,6/28/2017,East Rutherford,NJ, USA,MetLife Stadium,14568805
2017,U2,7/1/2017,Cleveland,OH, USA,FirstEnergy Stadium,5582965
2016,Beyonce,4/27/2016,Miami,FL, USA,Marlins Park,5252615
2016,Beyonce,4/29/2016,Tampa,FL, USA,Raymond James Stadium,4803295
2016,Beyonce,5/1/2016,Atlanta,GA, USA,Georgia Dome,5801725
2016,Beyonce,5/3/2016,Raleigh,NC, USA,Carter–Finley Stadium,4810620
2016,Beyonce,5/7/2016,Houston,TX, USA,NRG Stadium,6412280
2016,Beyonce,5/9/2016,Arlington,TX, USA,AT&T Stadium,5954775
2016,Beyonce,5/12/2016,San Diego,CA, USA,Qualcomm Stadium,6028115
2016,Beyonce,5/14/2016,Pasadena,CA, USA,Rose Bowl,7138685
2016,Beyonce,5/16/2016,Santa Clara,CA, USA,Levi's Stadium,6201845
2016,Beyonce,5/18/2016,Seattle,WA, USA,CenturyLink Field,5415810
2016,Beyonce,5/20/2016,Edmonton,Canada,Canada,Commonwealth Stadium,3723830
2016,Beyonce,5/23/2016,Minneapolis,MN, USA,TCF Bank Stadium,4174270
2016,Beyonce,5/25/2016,Toronto,Canada,Canada,Rogers Centre,4440554
2016,Beyonce,5/27/2016,Chicago,IL, USA,Soldier Field,11279890
2016,Beyonce,5/31/2016,Pittsburgh,PA, USA,Heinz Field,3927805
2016,Beyonce,6/3/2016,Foxborough,MA, USA,Gillette Stadium,6008698
2016,Beyonce,6/5/2016,Philadelphia,PA, USA,Lincoln Financial Field,5563435
2016,Beyonce,6/7/2016,New York City,NY, USA,Citi Field,11461340
2016,Beyonce,6/10/2016,Baltimore,MD, USA,M&T Bank Stadium,5770660
2016,Beyonce,6/12/2016,Hershey,PA, USA,Hersheypark Stadium,3474695
2016,Beyonce,6/14/2016,Detroit,MI, USA,Ford Field,5471395
2016,Beyonce,9/10/2016,St. Louis,MO, USA,The Dome at America's Center,3953445
2016,Beyonce,9/14/2016,Los Angeles,CA, USA,Dodger Stadium,6736700
2016,Beyonce,9/17/2016,Santa Clara,CA, USA,Levi's Stadium,4898690
2016,Beyonce,9/22/2016,Houston,TX, USA,NRG Stadium,5107065
2016,Beyonce,9/24/2016,New Orleans,LA, USA,Mercedes-Benz Superdome,5349960
2016,Beyonce,9/26/2016,Atlanta,GA, USA,Georgia Dome,5374615
2016,Beyonce,9/29/2016,Philadelphia,PA, USA,Lincoln Financial Field,3353627
2016,Beyonce,10/2/2016,Nashville,TN, USA,Nissan Stadium,5182345
2016,Beyonce,10/7/2016,East Rutherford,NJ, USA,MetLife Stadium,6064625
2015,Taylor Swift,5/15/2015,Las Vegas,NV, USA,City of Rock,0
2015,Taylor Swift,5/20/2015,Bossier City,LA, USA,CenturyLink Center,1458197
2015,Taylor Swift,5/22/2015,Baton Rouge,LA, USA,LSU Tiger Stadium,4119670
